pais;codigo;ano;expectativa_vida;pib_per_capita;populacao;continente
El Salvador;SLV;1930;29;1667;1613621;North America
Finland;FIN;1930;54,45;4250;3439042;Europe
France;FRA;1930;56,83;7224;40610060;Europe
Guatemala;GTM;1930;25;2831;1866879;North America
Honduras;HND;1930;34;2402;1015487;North America
Hungary;HUN;1930;50,21;3832;8610568;Europe
Italy;ITA;1930;55,16;4631;40338080;Europe
Mexico;MEX;1930;34;2233;16897410;North America
Netherlands;NLD;1930;64,67;8931;7819340;Europe
Nicaragua;NIC;1930;28;2246;806886;North America
Norway;NOR;1930;64,1;5781;2806235;Europe
Panama;PAN;1930;36;2467;503191;North America
Spain;ESP;1930;49,26;3923;23440882;Europe
Sweden;SWE;1930;63,18;6755;6137296;Europe
Switzerland;CHE;1930;61,41;9969,324219;4020984;Europe
United Kingdom;GBR;1930;60,78;8673;46495659;Europe
United States;USA;1930;59,6;10694,98242;128119335;North America
Uruguay;URY;1930;50;5950;1735503;South America
Venezuela;VEN;1930;32;2923;3587901;South America
Australia;AUS;1931;65,3;6940;6412898;Oceania
Austria;AUT;1931;56,45;5241;6690205;Europe
Belgium;BEL;1931;58,41;7747;8085859;Europe
Canada;CAN;1931;60,27;6382;10322094;North America
Denmark;DNK;1931;61,84;8542;3575182;Europe
Finland;FIN;1931;54,86;4114;3466711;Europe
France;FRA;1931;56,89;6751;40679030;Europe
India;IND;1931;29,31;1133;352304571;Asia
Italy;ITA;1931;54,75;4538;40681558;Europe
Mexico;MEX;1931;37,7;2268;17170223;North America
Netherlands;NLD;1931;64,31;8265;7919671;Europe
Norway;NOR;1931;64,12;5297;2823051;Europe
Poland;POL;1931;49,8;2906;27708431;Europe
Spain;ESP;1931;49,16;3787;23667138;Europe
Sweden;SWE;1931;62,66;6582;6161033;Europe
Switzerland;CHE;1931;61,22;10055,48535;4038284;Europe
United Kingdom;GBR;1931;60,01;8190;46597850;Europe
United States;USA;1931;60,3;9930,963867;129405760;North America
Australia;AUS;1932;65,59;7275;6480684;Oceania
Belgium;BEL;1932;58,5;7343;8118000;Europe
Canada;CAN;1932;61,35;5852;10448251;North America
Chile;CHL;1932;38,7;2950;4771045;South America
Denmark;DNK;1932;62,7;8239;3604123;Europe
Finland;FIN;1932;55,77;4065;3492777;Europe
France;FRA;1932;57,22;6311;40683658;Europe
Greece;GRC;1932;50,5;3649;6593636;Europe
Indonesia;IDN;1932;32,5;1481;54946068;Asia
Italy;ITA;1932;54,74;4602;41025199;Europe
Mexico;MEX;1932;38,4;1890;17457634;North America
Netherlands;NLD;1932;65,38;8026;8017805;Europe
Norway;NOR;1932;64,6;5526;2839642;Europe
Romania;ROU;1932;42,01;618;14330147;Europe
Spain;ESP;1932;51,12;3856;23893166;Europe
Sweden;SWE;1932;63,93;6325;6184069;Europe
Switzerland;CHE;1932;61,2;9752,443359;4055529;Europe
United Kingdom;GBR;1932;60,53;8206;46766464;Europe
United States;USA;1932;61;8380,504883;130509510;North America
Australia;AUS;1933;65,44;7718;6535920;Oceania
Belgium;BEL;1933;58,68;7461;8144741;Europe
Canada;CAN;1933;62,26;5372;10562053;North America
Denmark;DNK;1933;63,61;8434;3632598;Europe
Finland;FIN;1933;55,43;4307;3517209;Europe
France;FRA;1933;57,66;6757;40623618;Europe
Italy;ITA;1933;56,26;4514;41368979;Europe
Jamaica;JAM;1933;41,6;1154;1078277;North America
Mexico;MEX;1933;37,3;2071;17760035;North America
Netherlands;NLD;1933;66,04;7900;8113668;Europe
North Korea;PRK;1933;37,39;1895,453247;8005787;Asia
Norway;NOR;1933;65,48;5633;2856004;Europe
South Korea;KOR;1933;37,39;1655,025269;13354832;Asia
Spain;ESP;1933;51,53;3690;24118939;Europe
Sweden;SWE;1933;64,81;6429;6206397;Europe
Switzerland;CHE;1933;62,38;10009,1084;4072717;Europe
United Kingdom;GBR;1933;60,58;8411;47001700;Europe
United States;USA;1933;60,88;8048,224609;131426486;North America
Australia;AUS;1934;64,81;8066;6591627;Oceania
Belgium;BEL;1934;60,33;7371;8171569;Europe
Canada;CAN;1934;62,66;5883;10677095;North America
China;CHN;1934;34;937;503158681;Asia
Denmark;DNK;1934;64,09;8611;3661298;Europe
Finland;FIN;1934;56,02;4763;3541812;Europe
France;FRA;1934;58,32;6682;40563668;Europe
Italy;ITA;1934;56,83;4466;41715641;Europe
Mexico;MEX;1934;38,2;2176;18067674;North America
Netherlands;NLD;1934;66,6;7659;8210678;Europe
Norway;NOR;1934;66,22;5799;2872461;Europe
Spain;ESP;1934;52,17;3783;24346846;Europe
Sweden;SWE;1934;64,95;6845;6228806;Europe
Switzerland;CHE;1934;62,85;9997,375977;4089977;Europe
United Kingdom;GBR;1934;61,31;8939;47238120;Europe
United States;USA;1934;60,23;8667,091797;132349904;North America
Argentina;ARG;1935;54,45;6296;12902500;South America
Australia;AUS;1935;65,09;8477;6647809;Oceania
Belgium;BEL;1935;59,93;7801;8198486;Europe
Canada;CAN;1935;62,4;6298;10793390;North America
Cuba;CUB;1935;44,57;1809;4293598;North America
Denmark;DNK;1935;62,86;8735;3690224;Europe
Finland;FIN;1935;57,36;4930;3566588;Europe
France;FRA;1935;58,29;6513;40503806;Europe
Germany;DEU;1935;61,5;6567;68661832;Europe
India;IND;1935;30,95;1084;372221763;Asia
Italy;ITA;1935;56,2;4670;42065207;Europe
Japan;JPN;1935;48,24;3825,302979;67718104;Asia
Mexico;MEX;1935;40,4;2299;18380643;North America
Netherlands;NLD;1935;66,5;7857;8308847;Europe
Norway;NOR;1935;65,83;6057;2889012;Europe
Spain;ESP;1935;52,64;3806;24576906;Europe
Sri Lanka;LKA;1935;46,3;1887;6231475;Asia
Sweden;SWE;1935;64,85;7160;6251296;Europe
Switzerland;CHE;1935;62,1;9478,807617;4107311;Europe
United Kingdom;GBR;1935;61,96;9244;47475729;Europe
United States;USA;1935;60,89;9680,838867;133279810;North America
Australia;AUS;1936;65,22;8792;6704469;Oceania
Belgium;BEL;1936;59,94;7831;8225492;Europe
Canada;CAN;1936;62,65;6574;10910951;North America
China;CHN;1936;35;1065;509141114;Asia
Denmark;DNK;1936;63,47;8886;3719379;Europe
Finland;FIN;1936;56,15;5227;3591537;Europe
France;FRA;1936;58,78;6765;40444032;Europe
Ireland;IRL;1936;58,9;4865;2903669;Europe
Italy;ITA;1936;56,72;4471;42417703;Europe
Mexico;MEX;1936;38,3;2444;18699032;North America
Netherlands;NLD;1936;66,74;8273;8408190;Europe
Norway;NOR;1936;65,82;6432;2905659;Europe
Spain;ESP;1936;50,96;2876;24809141;Europe
Sweden;SWE;1936;64,59;7396;6273868;Europe
Switzerland;CHE;1936;63,15;9301,84668;4124719;Europe
United Kingdom;GBR;1936;61,76;9620;47714534;Europe
United States;USA;1936;60,35;10568,0127;134216250;North America
Australia;AUS;1937;65,78;9159;6761613;Oceania
Belgium;BEL;1937;59,98;7908;8252586;Europe
Bulgaria;BGR;1937;51,8;2410;6469080;Europe
Canada;CAN;1937;61,29;7130;11029793;North America
Chile;CHL;1937;39,1;5083;5194412;South America
Denmark;DNK;1937;63,95;9035;3748764;Europe
Finland;FIN;1937;57,1;5485;3616660;Europe
France;FRA;1937;59,14;7152;40384347;Europe
Greece;GRC;1937;52,8;4414;7059429;Europe
Indonesia;IDN;1937;35;1694;59116991;Asia
Italy;ITA;1937;55,45;4879;42773152;Europe
Mexico;MEX;1937;36,8;2482;19022937;North America
Netherlands;NLD;1937;66,96;8660;8508720;Europe
Norway;NOR;1937;66,02;6684;2922401;Europe
Spain;ESP;1937;47,28;2654;25043569;Europe
Sweden;SWE;1937;64,63;7579;6296520;Europe
Switzerland;CHE;1937;63,49;10039,29199;4142200;Europe
Turkey;TUR;1937;35,43;2066;17001683;Asia
United Kingdom;GBR;1937;61,8;9911;47954539;Europe
United States;USA;1937;61,05;11295,09863;135159270;North America
Australia;AUS;1938;65,81;9382;6819243;Oceania
Belgium;BEL;1938;60,12;7702;8279770;Europe
Canada;CAN;1938;63,26;7246;11149930;North America
Colombia;COL;1938;36,6;2938;9154356;South America
Denmark;DNK;1938;64,98;9185;3778382;Europe
Finland;FIN;1938;57,2;5721;3641959;Europe
France;FRA;1938;58,95;7119;40324749;Europe
Italy;ITA;1938;56,09;4981;43131580;Europe
Jamaica;JAM;1938;45,9;1549;1181778;North America
Mexico;MEX;1938;39,4;2479;19352452;North America
Netherlands;NLD;1938;67,38;8368;8610453;Europe
North Korea;PRK;1938;42,57;2557,073242;8693869;Asia
Norway;NOR;1938;67,08;6794;2939240;Europe
Philippines;PHL;1938;40;2295;13879585;Asia
South Korea;KOR;1938;42,57;1935,096436;14160182;Asia
Spain;ESP;1938;47,58;2636;25280213;Europe
Sweden;SWE;1938;65,55;7812;6319255;Europe
Switzerland;CHE;1938;63,82;9608,570313;4159756;Europe
United Kingdom;GBR;1938;63,21;9988;48195752;Europe
United States;USA;1938;62,39;10526,13379;136108915;North America
Australia;AUS;1939;65,78;9318;6887974;Oceania
Belgium;BEL;1939;60,01;8209;8307322;Europe
Canada;CAN;1939;63,69;7600;11288246;North America
Denmark;DNK;1939;65,81;9553;3810539;Europe
Finland;FIN;1939;54,64;5432;3668255;Europe
France;FRA;1939;59,59;7640;40306394;Europe
Italy;ITA;1939;57,6;5246;43472712;Europe
Mexico;MEX;1939;45,5;2570;19754399;North America
Netherlands;NLD;1939;67,73;8837;8715425;Europe
Norway;NOR;1939;67,35;7079;2958350;Europe
Spain;ESP;1939;47,21;2885;25514776;Europe
Sweden;SWE;1939;66,38;8370;6350077;Europe
Switzerland;CHE;1939;63,98;9836,152344;4182688;Europe
United Kingdom;GBR;1939;63,61;9982;48426919;Europe
United States;USA;1939;63,07;11171,44824;137254990;North America
Argentina;ARG;1940;56,45;6633;14095334;South America
Australia;AUS;1940;66,23;9828;6968070;Oceania
Belgium;BEL;1940;55,94;7272;8335242;Europe
Bolivia;BOL;1940;36;2667;2947570;South America
Brazil;BRA;1940;37;1610;41583140;South America
Canada;CAN;1940;63,96;8557;11445248;North America
Chile;CHL;1940;38;5177;5471694;South America
Colombia;COL;1940;38;3021;9479203;South America
Costa Rica;CRI;1940;49;2810;679682;North America
Cuba;CUB;1940;45;2069;4701961;North America
Denmark;DNK;1940;66,25;8155;3845283;Europe
El Salvador;SLV;1940;36;1773;1841147;North America
Finland;FIN;1940;46,6;5133;3695561;Europe
France;FRA;1940;49,55;6443;40329369;Europe
Greece;GRC;1940;54,34;3543;7310690;Europe
Guatemala;GTM;1940;29;4371;2315787;North America
Honduras;HND;1940;36;1782;1237551;North America
Italy;ITA;1940;56,95;5099;43796279;Europe
Mexico;MEX;1940;39;2560;20232300;North America
Netherlands;NLD;1940;65,4;7701;8823701;Europe
Nicaragua;NIC;1940;34;2179;981826;North America
Norway;NOR;1940;65,88;6437;2979763;Europe
Panama;PAN;1940;42;2651;669047;North America
Paraguay;PRY;1940;42;2644;1114229;South America
Peru;PER;1940;37;3046;6527645;South America
Portugal;PRT;1940;51,39;2574;7651645;Europe
Spain;ESP;1940;48,44;3170;25747201;Europe
Sri Lanka;LKA;1940;45,2;1994;6513272;Asia
Sweden;SWE;1940;66,72;7739;6389096;Europe
Switzerland;CHE;1940;63,54;9802,373047;4211076;Europe
United Kingdom;GBR;1940;60,88;10928;48647946;Europe
United States;USA;1940;63,23;12005,09473;138601511;North America
Uruguay;URY;1940;58;4983;1997473;South America
Venezuela;VEN;1940;38;4769;4141352;South America
Australia;AUS;1941;66,11;10820;7059804;Oceania
Belgium;BEL;1941;58,89;6947;8363535;Europe
Canada;CAN;1941;63,72;9645;11621456;North America
Denmark;DNK;1941;65,98;7291;3882658;Europe
Finland;FIN;1941;46,5;5295;3723891;Europe
France;FRA;1941;57,66;5274;40393765;Europe
Hungary;HUN;1941;56,56;4186;9245404;Europe
India;IND;1941;32,59;1101;394407406;Asia
Ireland;IRL;1941;60;4865;2915908;Europe
Italy;ITA;1941;54,65;4967;44102010;Europe
Mexico;MEX;1941;42,6;2738;20789814;North America
Netherlands;NLD;1941;65,31;7222;8935349;Europe
Norway;NOR;1941;65,77;6554;3003513;Europe
Portugal;PRT;1941;47,91;2785;7733482;Europe
Spain;ESP;1941;47,19;3191;25977430;Europe
Sweden;SWE;1941;67,03;7511;6436420;Europe
Switzerland;CHE;1941;64,95;9217,348633;4245000;Europe
United Kingdom;GBR;1941;61,35;11926;48858739;Europe
United States;USA;1941;63,8;13553,40137;140152562;North America
Australia;AUS;1942;65,85;11963;7163452;Oceania
Belgium;BEL;1942;59,11;6371;8392202;Europe
Canada;CAN;1942;64,63;11210;11817397;North America
Chile;CHL;1942;44;5161;5673904;South America
Denmark;DNK;1942;67,13;7379;3922710;Europe
Finland;FIN;1942;53,96;5303;3753260;Europe
France;FRA;1942;57,41;4752;40499670;Europe
Italy;ITA;1942;52,52;4661;44389632;Europe
Jamaica;JAM;1942;49,8;1546;1258782;North America
Mexico;MEX;1942;39,8;2817;21430746;North America
Netherlands;NLD;1942;65,82;6546;9050435;Europe
North Korea;PRK;1942;44,89;2399,64209;9286676;Asia
Norway;NOR;1942;65,71;6261;3029636;Europe
Portugal;PRT;1942;49,83;2723;7811861;Europe
South Korea;KOR;1942;44,89;1645,722046;15366340;Asia
Spain;ESP;1942;52,48;3394;26205406;Europe
Sweden;SWE;1942;68,94;7557;6492162;Europe
Switzerland;CHE;1942;65,62;8739,766602;4284539;Europe
Turkey;TUR;1942;31,34;1994;18548948;Asia
United Kingdom;GBR;1942;63,99;12176;49059203;Europe
United States;USA;1942;64,59;14869,86133;141912292;North America
Australia;AUS;1943;66,38;12278;7279295;Oceania
Belgium;BEL;1943;60,32;6228;8421245;Europe
Canada;CAN;1943;64,55;11577;12033612;North America
Denmark;DNK;1943;67,43;8097;3965488;Europe
Finland;FIN;1943;56,3;5893;3783681;Europe
France;FRA;1943;53,33;4559;40647177;Europe
Italy;ITA;1943;49,4;3931;44658866;Europe
Jamaica;JAM;1943;50,3;1833;1275649;North America
Mexico;MEX;1943;42,8;2844;22159047;North America
Netherlands;NLD;1943;64,43;6346;9169029;Europe
Norway;NOR;1943;66,12;6089;3058165;Europe
Portugal;PRT;1943;51,01;2879;7886695;Europe
Spain;ESP;1943;54,83;3551;26431068;Europe
Sweden;SWE;1943;68,7;7779;6556432;Europe
Switzerland;CHE;1943;65,8;8642,972656;4329777;Europe
United Kingdom;GBR;1943;64,01;12344;49249240;Europe
United States;USA;1943;64,3;16050,21777;143884915;North America
Australia;AUS;1944;68,02;11735;7397011;Oceania
Belgium;BEL;1944;56,91;6554;8450388;Europe
Canada;CAN;1944;65,28;11864;12253783;North America
Colombia;COL;1944;41,85;2970;10357094;South America
Denmark;DNK;1944;66,38;8835;4008732;Europe
Finland;FIN;1944;48,04;5874;3814348;Europe
France;FRA;1944;47,2;3861;40795220;Europe
Italy;ITA;1944;52,44;3162;44929734;Europe
Mexico;MEX;1944;43,2;2998;22912098;North America
Netherlands;NLD;1944;61,25;4222;9289176;Europe
Norway;NOR;1944;65,81;5719;3086963;Europe
Portugal;PRT;1944;52,37;3017;7962246;Europe
Spain;ESP;1944;56,22;3676;26658673;Europe
Sweden;SWE;1944;67,72;7987;6621338;Europe
Switzerland;CHE;1944;64,84;8890,739258;4375491;Europe
United Kingdom;GBR;1944;64,81;11803;49440013;Europe
United States;USA;1944;65,09;16999,32813;145884958;North America
Argentina;ARG;1945;58,4;6943;15492994;South America
Australia;AUS;1945;68,45;11026;7516631;Oceania
Belgium;BEL;1945;58,35;6907;8479632;Europe
Brazil;BRA;1945;42,3;1792;47247661;South America
Canada;CAN;1945;66,27;11370;12477983;North America
Cuba;CUB;1945;50,93;2275;5273285;North America
Denmark;DNK;1945;66,07;8075;4052448;Europe
Finland;FIN;1945;57,17;5499;3845264;Europe
France;FRA;1945;54,94;4101;40943803;Europe
Italy;ITA;1945;54,87;2831;45202244;Europe
Japan;JPN;1945;30,54;3677,669922;77370299;Asia
Mexico;MEX;1945;44,2;3009;23690741;North America
Netherlands;NLD;1945;55,44;4281;9410898;Europe
Norway;NOR;1945;68,18;6344;3116032;Europe
Portugal;PRT;1945;53,77;2876;8038521;Europe
Spain;ESP;1945;57,79;3357;26888238;Europe
Sweden;SWE;1945;68,32;8201;6686887;Europe
Switzerland;CHE;1945;65,37;8839,31543;4421689;Europe
United Kingdom;GBR;1945;65,75;11247;49631526;Europe
United States;USA;1945;65,58;16477,55273;147912803;North America
Australia;AUS;1946;67,97;10512;7638185;Oceania
Belgium;BEL;1946;61,87;7291;8508977;Europe
Canada;CAN;1946;66,47;11048;12706285;North America
Denmark;DNK;1946;67,21;9208;4096640;Europe
Finland;FIN;1946;60,24;5871;3876430;Europe
France;FRA;1946;62,35;6145;41092927;Europe
Germany;DEU;1946;60,51;3534;70224410;Europe
Ireland;IRL;1946;61,4;4865;2918895;Europe
Italy;ITA;1946;58,96;3805;45476408;Europe
Jamaica;JAM;1946;51,4;2628;1327617;North America
Mexico;MEX;1946;44,8;3124;24495845;North America
Netherlands;NLD;1946;67,59;7104;9534215;Europe
Norway;NOR;1946;69,51;6910;3145375;Europe
Portugal;PRT;1946;53,64;3073;8115526;Europe
Spain;ESP;1946;57,5;3473;27119781;Europe
Sri Lanka;LKA;1946;45,8;1674;7310673;Asia
Sweden;SWE;1946;69,49;9000;6753085;Europe
Switzerland;CHE;1946;66,04;10866,09766;4468374;Europe
United Kingdom;GBR;1946;66,34;10751;49823780;Europe
United States;USA;1946;66,28;14822,4668;149968835;North America
Australia;AUS;1947;68,58;10622;7761706;Oceania
Austria;AUT;1947;61,3;3453;6873901;Europe
Belgium;BEL;1947;63,41;7651;8538424;Europe
Canada;CAN;1947;66,72;11298;12938764;North America
Chile;CHL;1947;47,9;5187;6227295;South America
Denmark;DNK;1947;68,53;9620;4141315;Europe
Finland;FIN;1947;60,49;5925;3907849;Europe
France;FRA;1947;63,94;6596;41242594;Europe
Italy;ITA;1947;61,16;4498;45752234;Europe
Jamaica;JAM;1947;50,4;2410;1345406;North America
Japan;JPN;1947;51,69;2710,949951;79543183;Asia
Mexico;MEX;1947;46,3;3145;25328310;North America
Netherlands;NLD;1947;69,53;8046;9659148;Europe
Norway;NOR;1947;70;7753;3174994;Europe
Portugal;PRT;1947;55,98;3301;8193270;Europe
Spain;ESP;1947;59,27;3513;27353317;Europe
Sweden;SWE;1947;69,45;9709;6819938;Europe
Switzerland;CHE;1947;66,23;11020,9502;4515553;Europe
Turkey;TUR;1947;38,1;1890;20193755;Asia
United Kingdom;GBR;1947;66,31;10527;50016779;Europe
United States;USA;1947;66,69;14311,54688;152053446;North America
Australia;AUS;1948;68,5;11105;7887223;Oceania
Austria;AUT;1948;63,24;4406;6897134;Europe
Belgium;BEL;1948;64,94;8008;8567973;Europe
Bulgaria;BGR;1948;55,8;2200;7131164;Europe
Canada;CAN;1948;67,27;11261;13175496;North America
Denmark;DNK;1948;70,11;9776;4186477;Europe
Finland;FIN;1948;61,97;6307;3939523;Europe
France;FRA;1948;65,8;7002;41392806;Europe
Italy;ITA;1948;63,44;4814;46029733;Europe
Japan;JPN;1948;56,83;2857,22998;80652402;Asia
Mexico;MEX;1948;48,3;3188;26189065;North America
Netherlands;NLD;1948;71,05;8751;9785718;Europe
New Zealand;NZL;1948;68,82;11045;1842919;Oceania
Norway;NOR;1948;71,13;8199;3204892;Europe
Portugal;PRT;1948;56,71;3261;8271758;Europe
Spain;ESP;1948;61,22;3478;27588864;Europe
Sri Lanka;LKA;1948;54;1847;7617339;Asia
Sweden;SWE;1948;70,72;9822;6887453;Europe
Switzerland;CHE;1948;67,31;11189,34277;4563229;Europe
United Kingdom;GBR;1948;68,39;10753;50210526;Europe
United States;USA;1948;67,25;14734,23242;154167035;North America
Australia;AUS;1949;69,13;11536;8025619;Oceania
Austria;AUT;1949;63,42;5249;6917985;Europe
Belgium;BEL;1949;65,43;8278;8600995;Europe
Bulgaria;BGR;1949;57,94;2400;7191004;Europe
Canada;CAN;1949;67,59;11260;13439995;North America
Denmark;DNK;1949;70,13;10351;4228817;Europe
Finland;FIN;1949;61,86;6604;3972994;Europe
France;FRA;1949;64,89;7884;41589702;Europe
Hungary;HUN;1949;61,29;3752;9309622;Europe
Italy;ITA;1949;64,11;5188;46311839;Europe
Japan;JPN;1949;57,71;2866,77002;81738956;Asia
Mexico;MEX;1949;45,8;3276;27061239;North America
Netherlands;NLD;1949;70,28;9373;9913350;Europe
New Zealand;NZL;1949;68,95;11988;1873969;Oceania
Norway;NOR;1949;71,53;8332;3234985;Europe
Portugal;PRT;1949;55,34;3279;8346348;Europe
Spain;ESP;1949;60,96;3435;27827656;Europe
Sri Lanka;LKA;1949;55,5;1911;7786691;Asia
Sweden;SWE;1949;70,79;10127;6950802;Europe
Switzerland;CHE;1949;67,94;10943,54395;4614052;Europe
United Kingdom;GBR;1949;68,11;11088;50410257;Europe
United States;USA;1949;67,63;14196,67188;156416114;North America
Afghanistan;AFG;1950;27,7;1156;7480464;Asia
Albania;ALB;1950;44,7;1596;1252587;Europe
Algeria;DZA;1950;42,4;2176;9019866;Africa
Angola;AGO;1950;36,3;1677;4478186;Africa
Argentina;ARG;1950;61,2;7949;17017748;South America
Australia;AUS;1950;69;11815;8177169;Oceania
Austria;AUT;1950;64,8;5907;6936443;Europe
Bahrain;BHR;1950;38,1;3354;117160;Asia
Bangladesh;BGD;1950;38,2;861;39728540;Asia
Barbados;BRB;1950;55,2;3390;210556;North America
Belgium;BEL;1950;66,3;8706;8617340;Europe
Benin;BEN;1950;35;1627;2264457;Africa
Bolivia;BOL;1950;40,6;3011;3089847;South America
Botswana;BWA;1950;44,9;489;413489;Africa
Brazil;BRA;1950;48,1;2236;53955360;South America
Bulgaria;BGR;1950;61,5;2632;7157630;Europe
Burkina Faso;BFA;1950;33,1;756;4213762;Africa
Burundi;BDI;1950;40,6;595;2254121;Africa
Cambodia;KHM;1950;38,9;768;4380384;Asia
Cameroon;CMR;1950;34,5;1070;4315823;Africa
Canada;CAN;1950;68,2;11622;13743068;North America
Cape Verde;CPV;1950;47,3;1006;185013;Africa
Central African Republic;CAF;1950;35,4;1307;1436604;Africa
Chad;TCD;1950;36,2;815;2512693;Africa
Chile;CHL;1950;53,2;5880;6623650;South America
China;CHN;1950;43,7;799;543979200;Asia
Colombia;COL;1950;48,2;3432;11769747;South America
Comoros;COM;1950;36,5;534;161823;Africa
Congo;COG;1950;40,1;1693;835136;Africa
Costa Rica;CRI;1950;53,8;3129;948490;North America
Cote d'Ivoire;CIV;1950;32,1;1659;2736917;Africa
Cuba;CUB;1950;60,1;2638;5926656;North America
Cyprus;CYP;1950;56,9;2885;493969;Europe
Democratic Republic of Congo;COD;1950;38,3;909;12295748;Africa
Denmark;DNK;1950;70,3;11067;4267702;Europe
Djibouti;DJI;1950;40,6;3459;62351;Africa
Dominica;DMA;1950;46,2;980;50208;North America
Dominican Republic;DOM;1950;44,3;1637;2381743;North America
Ecuador;ECU;1950;49,2;2970;3518730;South America
Egypt;EGY;1950;35,4;1450,972412;21150060;Africa
El Salvador;SLV;1950;42,4;2375;2182419;North America
Equatorial Guinea;GNQ;1950;39,3;797;226391;Africa
Eswatini;SWZ;1950;43;604;271656;Africa
Ethiopia;ETH;1950;36,4;622;17709958;Africa
Finland;FIN;1950;64,2;6779;4008294;Europe
France;FRA;1950;66,4;8266;41842356;Europe
Gabon;GAB;1950;39,6;2958;472913;Africa
Gambia;GMB;1950;31,8;982;306793;Africa
Germany;DEU;1950;66,8;6186;70964104;Europe
Ghana;GHA;1950;43,1;1788;5077600;Africa
Greece;GRC;1950;66,4;3052;7669097;Europe
Guatemala;GTM;1950;39,4;3323;3099871;North America
Guinea;GIN;1950;35,5;520;2983566;Africa
Guinea-Bissau;GNB;1950;35,6;462;543421;Africa
Haiti;HTI;1950;37,5;1790;3247240;North America
Honduras;HND;1950;42,7;2018;1557940;North America
Hong Kong;HKG;1950;59,3;4082;1980530;Asia
Hungary;HUN;1950;62,1;3953;9337718;Europe
Iceland;ISL;1950;71,2;8498;142666;Europe
India;IND;1950;41,7;987;357021120;Asia
Indonesia;IDN;1950;39,4;1280;69567624;Asia
Iran;IRN;1950;39;2742;16832842;Asia
Iraq;IRQ;1950;39;2174;5656483;Asia
Ireland;IRL;1950;65,6;5504;2906608;Europe
Israel;ISR;1950;68,2;4490;1284166;Asia
Italy;ITA;1950;65,7;5582;46391944;Europe
Jamaica;JAM;1950;56,8;2115;1407472;North America
Japan;JPN;1950;59,2;3062;84353056;Asia
Jordan;JOR;1950;40;2651;438397;Asia
Kenya;KEN;1950;38,9;1038;5774050;Africa
Kuwait;KWT;1950;48,5;46031;153754;Asia
Laos;LAO;1950;38,7;697;1684682;Asia
Lebanon;LBN;1950;61;3872;1349596;Asia
Lesotho;LSO;1950;44,8;631;579478;Africa
Liberia;LBR;1950;38,5;3151;915910;Africa
Libya;LBY;1950;33,6;620;1130680;Africa
Luxembourg;LUX;1950;66,4;13378;296589;Europe
Madagascar;MDG;1950;39,6;1516;3953898;Africa
Malawi;MWI;1950;32,7;516;2949747;Africa
Malaysia;MYS;1950;47;2485;5972878;Asia
Mali;MLI;1950;28,2;728;4694920;Africa
Malta;MLT;1950;61,6;1573;291881;Europe
Mauritania;MRT;1950;38,7;679;658563;Africa
Mauritius;MUS;1950;52,4;3942;525445;Africa
Mexico;MEX;1950;44;3510;27600140;North America
Mongolia;MNG;1950;39,6;677;781264;Asia
Morocco;MAR;1950;39,1;2319;8946213;Africa
Mozambique;MOZ;1950;37,3;1806;5920221;Africa
Myanmar;MMR;1950;35,4;631;17731816;Asia
Namibia;NAM;1950;41,5;4009;514785;Africa
Nepal;NPL;1950;37,7;802;8398952;Asia
Netherlands;NLD;1950;71,4;9558;10093555;Europe
New Zealand;NZL;1950;69,3;13479;1911611;Oceania
Nicaragua;NIC;1950;41;2565;1330447;North America
Niger;NER;1950;36,3;983;2569201;Africa
Nigeria;NGA;1950;35,8;1200;37189376;Africa
Norway;NOR;1950;71,6;8655;3281428;Europe
Oman;OMN;1950;29,7;993;457321;Asia
Pakistan;PAK;1950;35;1025;37696264;Asia
Palestine;PSE;1950;45,8;1549;944814;Asia
Panama;PAN;1950;55;2577;861090;North America
Paraguay;PRY;1950;58,5;2391;1504818;South America
Peru;PER;1950;46,2;3679;7678967;South America
Philippines;PHL;1950;53,4;1706;18469880;Asia
Poland;POL;1950;59,1;3900;24786240;Europe
Portugal;PRT;1950;58,5;3325;8416952;Europe
Puerto Rico;PRI;1950;60,5;3416;2229747;North America
Qatar;QAT;1950;52,7;48436;24310;Asia
Romania;ROU;1950;62,2;824;16392973;Europe
Rwanda;RWA;1950;43,3;1020;2154225;Africa
Saint Lucia;LCA;1950;45,6;1231;86716;North America
Sao Tome and Principe;STP;1950;40,1;1278;60993;Africa
Saudi Arabia;SAU;1950;41;3556;3089697;Asia
Senegal;SEN;1950;36,4;2007;2496070;Africa
Seychelles;SYC;1950;50,9;2632;38129;Africa
Sierra Leone;SLE;1950;29,6;902;2000793;Africa
Singapore;SGP;1950;50,7;3572;1006712;Asia
South Africa;ZAF;1950;43,5;4041;13043843;Africa
South Korea;KOR;1950;21,3;998,0888062;20104016;Asia
Spain;ESP;1950;61,8;3464;28069696;Europe
Sri Lanka;LKA;1950;54,8;1997;7945979;Asia
Sweden;SWE;1950;71,1;10742;7014611;Europe
Switzerland;CHE;1950;68,9;11541,03809;4692636;Europe
Syria;SYR;1950;44,1;3838;3543542;Asia
Taiwan;TWN;1950;55,7;1460;7623139;Asia
Tanzania;TZA;1950;41,3;676;7632405;Africa
Thailand;THA;1950;43,2;1302;20411638;Asia
Togo;TGO;1950;40,9;870;1398532;Africa
Trinidad and Tobago;TTO;1950;55,9;5856;648619;North America
