pais;codigo;anpo;expectativa_vida;pib_per_capita;populacao;continente
Afghanistan;AFG;1300;;;1749998;
Albania;ALB;1300;;;200000;
Algeria;DZA;1300;;;1684987;
American Samoa;ASM;1300;;;355;
Andorra;AND;1300;;;1585;
Angola;AGO;1300;;;1506003;
Anguilla;AIA;1300;;;724;
Antigua and Barbuda;ATG;1300;;;5894;
Argentina;ARG;1300;;;260000;
Armenia;ARM;1300;;;218000;
Aruba;ABW;1300;;;62;
Australia;AUS;1300;;;251185;
Austria;AUT;1300;;;2000000;
Azerbaijan;AZE;1300;;;464999;
Bahamas;BHS;1300;;;3559;
Bahrain;BHR;1300;;;17534;
Bangladesh;BGD;1300;;;7967992;
Barbados;BRB;1300;;;312;
Belarus;BLR;1300;;;432000;
Belgium;BEL;1300;;;1250000;
Belize;BLZ;1300;;;5785;
Benin;BEN;1300;;;2400000;
Bhutan;BTN;1300;;;11000;
Bolivia;BOL;1300;;;780000;
Bosnia and Herzegovina;BIH;1300;;;327999;
Botswana;BWA;1300;;;75138;
Brazil;BRA;1300;;;15028854;
Brunei;BRN;1300;;;4400;
Bulgaria;BGR;1300;;;1000000;
Burkina Faso;BFA;1300;;;1028040;
Burundi;BDI;1300;;;514799;
Cambodia;KHM;1300;;;1300000;
Cameroon;CMR;1300;;;1054957;
Canada;CAN;1300;;;159999;
Central African Republic;CAF;1300;;;254500;
Chad;TCD;1300;;;699998;
Chile;CHL;1300;;;519988;
China;CHN;1300;;;79967880;
Colombia;COL;1300;;;3355780;
Comoros;COM;1300;;;16000;
Congo;COG;1300;;;196473;
Costa Rica;CRI;1300;;;378125;
Cote d'Ivoire;CIV;1300;;;751339;
Croatia;HRV;1300;;;491999;
Cuba;CUB;1300;;;40860;
Cyprus;CYP;1300;;;200000;
Czechia;CZE;1300;;;2160000;
Democratic Republic of Congo;COD;1300;;;4416008;
Denmark;DNK;1300;;;600000;
Djibouti;DJI;1300;;;17280;
Dominica;DMA;1300;;;871;
Dominican Republic;DOM;1300;;;128000;
Ecuador;ECU;1300;;;520000;
Egypt;EGY;1300;;972;4700000;
El Salvador;SLV;1300;;;77092;
Equatorial Guinea;GNQ;1300;;;83151;
Eritrea;ERI;1300;;;88933;
Estonia;EST;1300;;;56498;
Eswatini;SWZ;1300;;;10080;
Ethiopia;ETH;1300;;;2355000;
Faeroe Islands;FRO;1300;;;157;
Fiji;FJI;1300;;;41228;
Finland;FIN;1300;;;110000;
France;FRA;1300;;1423;15806721;
French Guiana;GUF;1300;;;1291;
Gabon;GAB;1300;;;112361;
Gambia;GMB;1300;;;2556;
Georgia;GEO;1300;;;568000;
Germany;DEU;1300;;;9000009;
Ghana;GHA;1300;;;1313189;
Greece;GRC;1300;;;1250000;
Greenland;GRL;1300;;;1116;
Grenada;GRD;1300;;;15210;
Guadeloupe;GLP;1300;;;40375;
Guatemala;GTM;1300;;;719999;
Guinea;GIN;1300;;;690469;
Guinea-Bissau;GNB;1300;;;61569;
Guyana;GUY;1300;;;70000;
Haiti;HTI;1300;;;88888;
Honduras;HND;1300;;;698536;
Hong Kong;HKG;1300;;;13463;
Hungary;HUN;1300;;;1250000;
Iceland;ISL;1300;;;70000;
India;IND;1300;;;123742952;
Indonesia;IDN;1300;;;4999990;
Iran;IRN;1300;;;3500010;
Iraq;IRQ;1300;;;999999;
Ireland;IRL;1300;;;799999;
Israel;ISR;1300;;;351315;
Italy;ITA;1300;;;12503423;
Jamaica;JAM;1300;;;71612;
Japan;JPN;1300;;;7300006;
Jordan;JOR;1300;;;95000;
Kazakhstan;KAZ;1300;;;1070004;
Kenya;KEN;1300;;;1219998;
Kuwait;KWT;1300;;;68999;
Kyrgyzstan;KGZ;1300;;;310000;
Laos;LAO;1300;;;337142;
Latvia;LVA;1300;;;77612;
Lebanon;LBN;1300;;;508000;
Lesotho;LSO;1300;;;47772;
Liberia;LBR;1300;;;271574;
Libya;LBY;1300;;;299997;
Liechtenstein;LIE;1300;;;6738;
Lithuania;LTU;1300;;;90483;
Luxembourg;LUX;1300;;;59384;
Madagascar;MDG;1300;;;449999;
Malawi;MWI;1300;;;285600;
Malaysia;MYS;1300;;;317599;
Mali;MLI;1300;;;900000;
Malta;MLT;1300;;;20000;
Martinique;MTQ;1300;;;22460;
Mauritania;MRT;1300;;;219999;
Mexico;MEX;1300;;;20999978;
Moldova;MDA;1300;;;234000;
Mongolia;MNG;1300;;;850002;
Montserrat;MSR;1300;;;252;
Morocco;MAR;1300;;;2010000;
Mozambique;MOZ;1300;;;719999;
Myanmar;MMR;1300;;;2899998;
Namibia;NAM;1300;;;113373;
Nepal;NPL;1300;;;1800000;
Netherlands;NLD;1300;;;881372;
Netherlands Antilles;ANT;1300;;;484;
New Caledonia;NCL;1300;;;14081;
New Zealand;NZL;1300;;;19999;
Nicaragua;NIC;1300;;;273172;
Niger;NER;1300;;;699999;
Nigeria;NGA;1300;;;8999985;
North Korea;PRK;1300;;;1080000;
North Macedonia;MKD;1300;;;164000;
Norway;NOR;1300;;;399999;
Oman;OMN;1300;;;199999;
Pakistan;PAK;1300;;;7055010;
Panama;PAN;1300;;;159448;
Papua New Guinea;PNG;1300;;;1099347;
Paraguay;PRY;1300;;;160000;
Peru;PER;1300;;;3600002;
Philippines;PHL;1300;;;339922;
Poland;POL;1300;;;3499996;
Portugal;PRT;1300;;;1147011;
Puerto Rico;PRI;1300;;;2044;
Qatar;QAT;1300;;;6996;
Romania;ROU;1300;;;1500002;
Russia;RUS;1300;;;5867968;
Rwanda;RWA;1300;;;475199;
Saint Kitts and Nevis;KNA;1300;;;536;
Saint Lucia;LCA;1300;;;1080;
Saint Pierre and Miquelon;SPM;1300;;;101;
Saint Vincent and the Grenadines;VCT;1300;;;1155;
Samoa;WSM;1300;;;1660;
Sao Tome and Principe;STP;1300;;;2627;
Saudi Arabia;SAU;1300;;;2220003;
Senegal;SEN;1300;;;230604;
Serbia;SRB;1300;;;990000;
Sierra Leone;SLE;1300;;;5125;
Singapore;SGP;1300;;;265;
Slovakia;SVK;1300;;;839999;
Slovenia;SVN;1300;;;214431;
Solomon Islands;SLB;1300;;;643;
Somalia;SOM;1300;;;622720;
South Africa;ZAF;1300;;;412799;
South Korea;KOR;1300;;;1919999;
Spain;ESP;1300;;;7499982;
Sri Lanka;LKA;1300;;;970000;
Sudan;SDN;1300;;;3466664;
Suriname;SUR;1300;;;12258;
Sweden;SWE;1300;;1133;1099999;
Switzerland;CHE;1300;;;799999;
Syria;SYR;1300;;;1243000;
Taiwan;TWN;1300;;;158540;
Tajikistan;TJK;1300;;;270000;
Tanzania;TZA;1300;;;2224998;
Thailand;THA;1300;;;1615962;
Timor;TLS;1300;;;65644;
Togo;TGO;1300;;;313936;
Tonga;TON;1300;;;2590;
Trinidad and Tobago;TTO;1300;;;28;
Tunisia;TUN;1300;;;1000001;
Turkey;TUR;1300;;;7199988;
Turkmenistan;TKM;1300;;;206000;
Turks and Caicos Islands;TCA;1300;;;4;
Uganda;UGA;1300;;;1219999;
Ukraine;UKR;1300;;;2061001;
United Arab Emirates;ARE;1300;;;30999;
United Kingdom;GBR;1300;;1159;6328028;
United States;USA;1300;;;1571686;
United States Virgin Islands;VIR;1300;;;346;
Uruguay;URY;1300;;;19386;
Uzbekistan;UZB;1300;;;1109999;
Vanuatu;VUT;1300;;;3119;
Venezuela;VEN;1300;;;359999;
Vietnam;VNM;1300;;;1519999;
Western Sahara;ESH;1300;;;142;
World;OWID_WRL;1300;;;456389076;
Yemen;YEM;1300;;;2200002;
Zambia;ZMB;1300;;;242400;
Zimbabwe;ZWE;1300;;;169999;
France;FRA;1301;;1457;;
Sweden;SWE;1301;;1135;;
United Kingdom;GBR;1301;;1168;;
France;FRA;1302;;1508;;
Sweden;SWE;1302;;1379;;
United Kingdom;GBR;1302;;1199;;
France;FRA;1303;;1541;;
Sweden;SWE;1303;;1494;;
United Kingdom;GBR;1303;;1249;;
France;FRA;1304;;1559;;
Sweden;SWE;1304;;1463;;
United Kingdom;GBR;1304;;1130;;
France;FRA;1305;;1610;;
Spain;ESP;1305;;1501,079956;;
Sweden;SWE;1305;;1451;;
United Kingdom;GBR;1305;;1162;;
France;FRA;1306;;1710;;
Sweden;SWE;1306;;1430;;
United Kingdom;GBR;1306;;1129;;
France;FRA;1307;;1745;;
Sweden;SWE;1307;;1419;;
United Kingdom;GBR;1307;;1184;;
France;FRA;1308;;1779;;
Sweden;SWE;1308;;1403;;
United Kingdom;GBR;1308;;1199;;
France;FRA;1309;;1795;;
Sweden;SWE;1309;;1387;;
United Kingdom;GBR;1309;;1229;;
France;FRA;1310;;1812;;
Italy;ITA;1310;;2857,082031;;
Sweden;SWE;1310;;1360;;
United Kingdom;GBR;1310;;1213;;
France;FRA;1311;;1795;;
Italy;ITA;1311;;2749,557373;;
Sweden;SWE;1311;;1352;;
United Kingdom;GBR;1311;;1257;;
France;FRA;1312;;1830;;
Italy;ITA;1312;;2787,958984;;
Sweden;SWE;1312;;1334;;
United Kingdom;GBR;1312;;1224;;
France;FRA;1313;;1761;;
Italy;ITA;1313;;2787,958984;;
Sweden;SWE;1313;;1301;;
United Kingdom;GBR;1313;;1246;;
France;FRA;1314;;1745;;
Italy;ITA;1314;;2841,721191;;
Sweden;SWE;1314;;1272;;
United Kingdom;GBR;1314;;1247;;
France;FRA;1315;;1694;;
Italy;ITA;1315;;2926,204834;;
Spain;ESP;1315;;1483,209961;;
Sweden;SWE;1315;;1237;;
United Kingdom;GBR;1315;;1121;;
France;FRA;1316;;1677;;
Italy;ITA;1316;;2926,204834;;
Sweden;SWE;1316;;1339;;
United Kingdom;GBR;1316;;1072;;
France;FRA;1317;;1694;;
Italy;ITA;1317;;2811;;
Sweden;SWE;1317;;1478;;
United Kingdom;GBR;1317;;1136;;
France;FRA;1318;;1710;;
Italy;ITA;1318;;2811;;
Sweden;SWE;1318;;1626;;
United Kingdom;GBR;1318;;1270;;
France;FRA;1319;;1710;;
Italy;ITA;1319;;2864,762207;;
Sweden;SWE;1319;;1451;;
United Kingdom;GBR;1319;;1292;;
France;FRA;1320;;1610;;
Italy;ITA;1320;;2787,958984;;
Sweden;SWE;1320;;1305;;
United Kingdom;GBR;1320;;1266;;
France;FRA;1321;;1610;;
Italy;ITA;1321;;2818,68042;;
Sweden;SWE;1321;;1294;;
United Kingdom;GBR;1321;;1085;;
France;FRA;1322;;1610;;
Italy;ITA;1322;;2672,75415;;
Sweden;SWE;1322;;1288;;
United Kingdom;GBR;1322;;1156;;
France;FRA;1323;;1643;;
Italy;ITA;1323;;2588,270508;;
Sweden;SWE;1323;;1301;;
United Kingdom;GBR;1323;;1215;;
France;FRA;1324;;1659;;
Italy;ITA;1324;;2649,713135;;
Sweden;SWE;1324;;1315;;
United Kingdom;GBR;1324;;1122;;
France;FRA;1325;;1728;;
Italy;ITA;1325;;2734,196777;;
Spain;ESP;1325;;1429,599976;;
Sweden;SWE;1325;;1433;;
United Kingdom;GBR;1325;;1230;;
France;FRA;1326;;1728;;
Italy;ITA;1326;;2757,237793;;
Sweden;SWE;1326;;1561;;
United Kingdom;GBR;1326;;1245;;
France;FRA;1327;;1694;;
Italy;ITA;1327;;2688,114746;;
Sweden;SWE;1327;;1729;;
United Kingdom;GBR;1327;;1222;;
France;FRA;1328;;1677;;
Italy;ITA;1328;;2618,991699;;
Sweden;SWE;1328;;1918;;
United Kingdom;GBR;1328;;1135;;
France;FRA;1329;;1643;;
Italy;ITA;1329;;2473,065674;;
Sweden;SWE;1329;;2040;;
United Kingdom;GBR;1329;;1193;;
France;FRA;1330;;1610;;
Italy;ITA;1330;;2488,42627;;
Sweden;SWE;1330;;1683;;
United Kingdom;GBR;1330;;1161;;
France;FRA;1331;;1575;;
Italy;ITA;1331;;2672,75415;;
Sweden;SWE;1331;;1486;;
United Kingdom;GBR;1331;;1106;;
France;FRA;1332;;1575;;
Italy;ITA;1332;;2741,876953;;
Sweden;SWE;1332;;1439;;
United Kingdom;GBR;1332;;1163;;
France;FRA;1333;;1592;;
Italy;ITA;1333;;2618,991699;;
Sweden;SWE;1333;;1342;;
United Kingdom;GBR;1333;;1197;;
France;FRA;1334;;1677;;
Italy;ITA;1334;;2588,270508;;
Sweden;SWE;1334;;1371;;
United Kingdom;GBR;1334;;1156;;
France;FRA;1335;;1694;;
Italy;ITA;1335;;2572,909912;;
Spain;ESP;1335;;1572,560059;;
Sweden;SWE;1335;;1398;;
United Kingdom;GBR;1335;;1107;;
France;FRA;1336;;1710;;
Italy;ITA;1336;;2642,032715;;
Sweden;SWE;1336;;1431;;
United Kingdom;GBR;1336;;1159;;
France;FRA;1337;;1745;;
Italy;ITA;1337;;2711,155762;;
Sweden;SWE;1337;;1465;;
United Kingdom;GBR;1337;;1283;;
France;FRA;1338;;1710;;
Italy;ITA;1338;;2665,07373;;
Sweden;SWE;1338;;1495;;
United Kingdom;GBR;1338;;1307;;
France;FRA;1339;;1694;;
Italy;ITA;1339;;2549,868896;;
Sweden;SWE;1339;;1522;;
United Kingdom;GBR;1339;;1066;;
France;FRA;1340;;1677;;
Italy;ITA;1340;;2642,032715;;
Sweden;SWE;1340;;1490;;
United Kingdom;GBR;1340;;1194;;
France;FRA;1341;;1677;;
Italy;ITA;1341;;2787,958984;;
Sweden;SWE;1341;;1460;;
United Kingdom;GBR;1341;;1205;;
France;FRA;1342;;1659;;
Italy;ITA;1342;;2680,434326;;
Sweden;SWE;1342;;1430;;
United Kingdom;GBR;1342;;1261;;
France;FRA;1343;;1677;;
Italy;ITA;1343;;2450,024658;;
Sweden;SWE;1343;;1384;;
United Kingdom;GBR;1343;;1225;;
France;FRA;1344;;1677;;
Italy;ITA;1344;;2450,024658;;
Sweden;SWE;1344;;1344;;
United Kingdom;GBR;1344;;1307;;
France;FRA;1345;;1677;;
Italy;ITA;1345;;2511,467285;;
Spain;ESP;1345;;1608,300049;;
Sweden;SWE;1345;;1299;;
United Kingdom;GBR;1345;;1216;;
France;FRA;1346;;1728;;
Italy;ITA;1346;;2388,582031;;
Sweden;SWE;1346;;1258;;
United Kingdom;GBR;1346;;1155;;
France;FRA;1347;;1795;;
Italy;ITA;1347;;2450,024658;;
Sweden;SWE;1347;;1272;;
United Kingdom;GBR;1347;;1199;;
France;FRA;1348;;1846;;
Italy;ITA;1348;;2672,75415;;
Netherlands;NLD;1348;;1404,634644;;
Sweden;SWE;1348;;1290;;
Turkey;TUR;1348;;743;;
United Kingdom;GBR;1348;;1229;;
France;FRA;1349;;1846;;
Italy;ITA;1349;;2634,352539;;
Netherlands;NLD;1349;;1459,892944;;
Sweden;SWE;1349;;1305;;
United Kingdom;GBR;1349;;1154;;
France;FRA;1350;;1897;;
Italy;ITA;1350;;2972,286865;;
Netherlands;NLD;1350;;1631,015991;;
Sweden;SWE;1350;;1323;;
United Kingdom;GBR;1350;;1314;;
France;FRA;1351;;1897;;
Italy;ITA;1351;;2734,196777;;
Netherlands;NLD;1351;;1713,903687;;
Sweden;SWE;1351;;1275;;
United Kingdom;GBR;1351;;1519;;
France;FRA;1352;;1881;;
Italy;ITA;1352;;2511,467285;;
Netherlands;NLD;1352;;1646,167603;;
Sweden;SWE;1352;;1226;;
United Kingdom;GBR;1352;;1574;;
France;FRA;1353;;1881;;
Italy;ITA;1353;;2634,352539;;
Netherlands;NLD;1353;;1654,188843;;
Sweden;SWE;1353;;1181;;
United Kingdom;GBR;1353;;1579;;
France;FRA;1354;;1948;;
Italy;ITA;1354;;2780,278809;;
Netherlands;NLD;1354;;1655,0802;;
Sweden;SWE;1354;;1149;;
United Kingdom;GBR;1354;;1512;;
France;FRA;1355;;1948;;
Italy;ITA;1355;;2841,721191;;
Netherlands;NLD;1355;;1682,709351;;
Spain;ESP;1355;;1465,339966;;
Sweden;SWE;1355;;1100;;
United Kingdom;GBR;1355;;1559;;
France;FRA;1356;;1914;;
Italy;ITA;1356;;2910,844238;;
Netherlands;NLD;1356;;1742,424194;;
Sweden;SWE;1356;;1074;;
United Kingdom;GBR;1356;;1537;;
France;FRA;1357;;1897;;
Italy;ITA;1357;;2933,885254;;
Netherlands;NLD;1357;;1745,989258;;
Sweden;SWE;1357;;1124;;
United Kingdom;GBR;1357;;1567;;
France;FRA;1358;;1897;;
Italy;ITA;1358;;3026,049316;;
Netherlands;NLD;1358;;1744,206787;;
Sweden;SWE;1358;;1186;;
United Kingdom;GBR;1358;;1575;;
France;FRA;1359;;1863;;
Italy;ITA;1359;;2795,639404;;
Netherlands;NLD;1359;;1766,488403;;
Sweden;SWE;1359;;1246;;
United Kingdom;GBR;1359;;1592;;
France;FRA;1360;;1846;;
Italy;ITA;1360;;2880,123047;;
Netherlands;NLD;1360;;1739,750366;;
Sweden;SWE;1360;;1318;;
United Kingdom;GBR;1360;;1581;;
France;FRA;1361;;1846;;
Italy;ITA;1361;;3195,016357;;
Netherlands;NLD;1361;;1780,748657;;
Sweden;SWE;1361;;1393;;
United Kingdom;GBR;1361;;1526;;
France;FRA;1362;;1863;;
Italy;ITA;1362;;3241,098389;;
Netherlands;NLD;1362;;1778,074951;;
Sweden;SWE;1362;;1471;;
United Kingdom;GBR;1362;;1486;;
France;FRA;1363;;1863;;
Italy;ITA;1363;;3072,131104;;
Netherlands;NLD;1363;;1749,554443;;
Sweden;SWE;1363;;1510;;
United Kingdom;GBR;1363;;1443;;
France;FRA;1364;;1881;;
Italy;ITA;1364;;3179,655762;;
Netherlands;NLD;1364;;1726,38147;;
Sweden;SWE;1364;;1535;;
United Kingdom;GBR;1364;;1603;;
France;FRA;1365;;1881;;
Italy;ITA;1365;;3271,81958;;
Netherlands;NLD;1365;;1729,055298;;
Spain;ESP;1365;;1411,72998;;
Sweden;SWE;1365;;1564;;
United Kingdom;GBR;1365;;1531;;
France;FRA;1366;;1863;;
Italy;ITA;1366;;3064,450684;;
Netherlands;NLD;1366;;1765,597046;;
Sweden;SWE;1366;;1605;;
United Kingdom;GBR;1366;;1578;;
France;FRA;1367;;1863;;
Italy;ITA;1367;;3156,614746;;
Netherlands;NLD;1367;;1901,960815;;
Sweden;SWE;1367;;1651;;
United Kingdom;GBR;1367;;1481;;
France;FRA;1368;;1881;;
Italy;ITA;1368;;2726,516357;;
Netherlands;NLD;1368;;1892,15686;;
Sweden;SWE;1368;;1688;;
United Kingdom;GBR;1368;;1471;;
France;FRA;1369;;1897;;
Italy;ITA;1369;;2757,237793;;
Netherlands;NLD;1369;;2097,147949;;
Sweden;SWE;1369;;1720;;
United Kingdom;GBR;1369;;1373;;
France;FRA;1370;;1914;;
Italy;ITA;1370;;2096,729492;;
Netherlands;NLD;1370;;2132,798584;;
Sweden;SWE;1370;;1709;;
United Kingdom;GBR;1370;;1539;;
France;FRA;1371;;1897;;
Italy;ITA;1371;;2242,655762;;
Netherlands;NLD;1371;;1942,958984;;
Sweden;SWE;1371;;1656;;
United Kingdom;GBR;1371;;1489;;
France;FRA;1372;;1897;;
Italy;ITA;1372;;2388,582031;;
Netherlands;NLD;1372;;1896,613159;;
Sweden;SWE;1372;;1618;;
United Kingdom;GBR;1372;;1347;;
France;FRA;1373;;1881;;
Italy;ITA;1373;;2480,74585;;
Netherlands;NLD;1373;;1926,91626;;
Sweden;SWE;1373;;1596;;
United Kingdom;GBR;1373;;1458;;
France;FRA;1374;;1863;;
Italy;ITA;1374;;2073,688477;;
Netherlands;NLD;1374;;1765,597046;;
Sweden;SWE;1374;;1575;;
United Kingdom;GBR;1374;;1341;;
France;FRA;1375;;1863;;
Italy;ITA;1375;;2849,401611;;
Netherlands;NLD;1375;;1903,743286;;
Spain;ESP;1375;;1286,640015;;
Sweden;SWE;1375;;1557;;
United Kingdom;GBR;1375;;1294;;
France;FRA;1376;;1846;;
Italy;ITA;1376;;2557,549316;;
Netherlands;NLD;1376;;1954,545532;;
Sweden;SWE;1376;;1541;;
United Kingdom;GBR;1376;;1495;;
France;FRA;1377;;1830;;
Italy;ITA;1377;;2649,713135;;
Netherlands;NLD;1377;;1975,935791;;
Sweden;SWE;1377;;1530;;
United Kingdom;GBR;1377;;1539;;
France;FRA;1378;;1830;;
Italy;ITA;1378;;2450,024658;;
Netherlands;NLD;1378;;2030,302979;;
Sweden;SWE;1378;;1519;;
United Kingdom;GBR;1378;;1523;;
France;FRA;1379;;1830;;
Italy;ITA;1379;;2373,221191;;
Netherlands;NLD;1379;;1980,392212;;
Sweden;SWE;1379;;1508;;
United Kingdom;GBR;1379;;1398;;
France;FRA;1380;;1812;;
Italy;ITA;1380;;2949,24585;;
Netherlands;NLD;1380;;2055,258545;;
Sweden;SWE;1380;;1503;;
United Kingdom;GBR;1380;;1462;;
France;FRA;1381;;1795;;
Italy;ITA;1381;;2795,639404;;
Netherlands;NLD;1381;;1950,089111;;
Sweden;SWE;1381;;1492;;
United Kingdom;GBR;1381;;1500;;
France;FRA;1382;;1779;;
Italy;ITA;1382;;2841,721191;;
Netherlands;NLD;1382;;2010,69519;;
Sweden;SWE;1382;;1562;;
United Kingdom;GBR;1382;;1553;;
France;FRA;1383;;1761;;
Italy;ITA;1383;;2657,393311;;
Netherlands;NLD;1383;;2144,38501;;
Sweden;SWE;1383;;1559;;
United Kingdom;GBR;1383;;1485;;
France;FRA;1384;;1761;;
Italy;ITA;1384;;2642,032715;;
Netherlands;NLD;1384;;2297,682617;;
Sweden;SWE;1384;;1551;;
United Kingdom;GBR;1384;;1680;;
France;FRA;1385;;1761;;
Italy;ITA;1385;;2703,475342;;
Netherlands;NLD;1385;;2123,885986;;
Spain;ESP;1385;;1304,51001;;
Sweden;SWE;1385;;1546;;
United Kingdom;GBR;1385;;1532;;
France;FRA;1386;;1779;;
Italy;ITA;1386;;2680,434326;;
Netherlands;NLD;1386;;2248,663086;;
Sweden;SWE;1386;;1470;;
United Kingdom;GBR;1386;;1714;;
France;FRA;1387;;1795;;
Italy;ITA;1387;;2926,204834;;
Netherlands;NLD;1387;;2072,192383;;
Sweden;SWE;1387;;1462;;
United Kingdom;GBR;1387;;1728;;
France;FRA;1388;;1812;;
Italy;ITA;1388;;2626,672119;;
Netherlands;NLD;1388;;2108,734375;;
Sweden;SWE;1388;;1455;;
United Kingdom;GBR;1388;;1599;;
France;FRA;1389;;1846;;
Italy;ITA;1389;;2511,467285;;
Netherlands;NLD;1389;;2365,418945;;
Sweden;SWE;1389;;1466;;
United Kingdom;GBR;1389;;1656;;
France;FRA;1390;;1881;;
Italy;ITA;1390;;2572,909912;;
Netherlands;NLD;1390;;2265,597168;;
Sweden;SWE;1390;;1482;;
United Kingdom;GBR;1390;;1554;;
France;FRA;1391;;1881;;
Italy;ITA;1391;;2595,950684;;
Netherlands;NLD;1391;;2169,340576;;
Sweden;SWE;1391;;1494;;
United Kingdom;GBR;1391;;1743;;
France;FRA;1392;;1881;;
Italy;ITA;1392;;2488,42627;;
Netherlands;NLD;1392;;2228,164063;;
Sweden;SWE;1392;;1506;;
United Kingdom;GBR;1392;;1967;;
France;FRA;1393;;1863;;
Italy;ITA;1393;;2711,155762;;
Netherlands;NLD;1393;;2283,422607;;
Sweden;SWE;1393;;1519;;
United Kingdom;GBR;1393;;1630;;
France;FRA;1394;;1863;;
Italy;ITA;1394;;3033,729492;;
Netherlands;NLD;1394;;2203,208496;;
Sweden;SWE;1394;;1533;;
United Kingdom;GBR;1394;;1795;;
France;FRA;1395;;1846;;
Italy;ITA;1395;;2941,565674;;
Netherlands;NLD;1395;;2188,948242;;
Spain;ESP;1395;;1358,119995;;
Sweden;SWE;1395;;1545;;
United Kingdom;GBR;1395;;1723;;
France;FRA;1396;;1881;;
Italy;ITA;1396;;2849,401611;;
Netherlands;NLD;1396;;2066,844971;;
Sweden;SWE;1396;;1564;;
United Kingdom;GBR;1396;;1738;;
France;FRA;1397;;1863;;
Italy;ITA;1397;;2826,360596;;
Netherlands;NLD;1397;;1977,718384;;
Sweden;SWE;1397;;1524;;
United Kingdom;GBR;1397;;1705;;
France;FRA;1398;;1863;;
Italy;ITA;1398;;2764,917969;;
Netherlands;NLD;1398;;2138,14624;;
Sweden;SWE;1398;;1537;;
United Kingdom;GBR;1398;;1830;;
France;FRA;1399;;1846;;
Italy;ITA;1399;;2803,31958;;
Netherlands;NLD;1399;;2017,825317;;
Sweden;SWE;1399;;1548;;
United Kingdom;GBR;1399;;1762;;
Afghanistan;AFG;1400;;;1874998;
Albania;ALB;1400;;;200000;
Algeria;DZA;1400;;;1469993;
American Samoa;ASM;1400;;;533;
Andorra;AND;1400;;;1617;
Angola;AGO;1400;;;1756999;
Anguilla;AIA;1400;;;790;
Antigua and Barbuda;ATG;1400;;;6438;
Argentina;ARG;1400;;;280004;
Armenia;ARM;1400;;;174000;
Aruba;ABW;1400;;;125;
Australia;AUS;1400;;;251777;
Austria;AUT;1400;;;1249999;
Azerbaijan;AZE;1400;;;371999;
Bahamas;BHS;1400;;;3882;
Bahrain;BHR;1400;;;19482;
Bangladesh;BGD;1400;;;9024002;
Barbados;BRB;1400;;;1250;
Belarus;BLR;1400;;;432000;
Belgium;BEL;1400;;;799999;
Belize;BLZ;1400;;;6311;
Benin;BEN;1400;;;2699999;
Bhutan;BTN;1400;;;12000;
Bolivia;BOL;1400;;;840000;
Bosnia and Herzegovina;BIH;1400;;;344000;
Botswana;BWA;1400;;;80704;
Brazil;BRA;1400;;;16259659;
Brunei;BRN;1400;;;4800;
Bulgaria;BGR;1400;;;549999;
Burkina Faso;BFA;1400;;;1165114;
Burundi;BDI;1400;;;582399;
Cambodia;KHM;1400;;;1400000;
Cameroon;CMR;1400;;;1205663;
Canada;CAN;1400;;;179999;
Central African Republic;CAF;1400;;;267895;
Chad;TCD;1400;;;780000;
Chile;CHL;1400;;;559936;
China;CHN;1400;;1404,245972;71253000;
Colombia;COL;1400;;;3675356;
Comoros;COM;1400;;;18000;
Congo;COG;1400;;;224541;
Costa Rica;CRI;1400;;;412499;
Cote d'Ivoire;CIV;1400;;;858674;
Croatia;HRV;1400;;;516000;
Cuba;CUB;1400;;;51076;
Cyprus;CYP;1400;;;150000;
Czechia;CZE;1400;;;1799999;
Democratic Republic of Congo;COD;1400;;;5152004;
Denmark;DNK;1400;;;400000;
Djibouti;DJI;1400;;;19439;
Dominica;DMA;1400;;;1089;
Dominican Republic;DOM;1400;;;160000;
Ecuador;ECU;1400;;;560001;
Egypt;EGY;1400;;1164;4050000;
El Salvador;SLV;1400;;;84101;
Equatorial Guinea;GNQ;1400;;;97010;
Eritrea;ERI;1400;;;102466;
Estonia;EST;1400;;;59471;
Eswatini;SWZ;1400;;;11340;
Ethiopia;ETH;1400;;;2355000;
Faeroe Islands;FRO;1400;;;160;
Falkland Islands;FLK;1400;;;0;
Fiji;FJI;1400;;;45809;
Finland;FIN;1400;;;99999;
France;FRA;1400;;1795;10930922;
French Guiana;GUF;1400;;;1408;
Gabon;GAB;1400;;;128412;
Gambia;GMB;1400;;;2921;
Georgia;GEO;1400;;;454000;
Germany;DEU;1400;;;6499992;
Ghana;GHA;1400;;;1500788;
Greece;GRC;1400;;;899999;
Greenland;GRL;1400;;;1139;
Grenada;GRD;1400;;;16593;
Guadeloupe;GLP;1400;;;44046;
Guatemala;GTM;1400;;;760000;
Guinea;GIN;1400;;;789107;
Guinea-Bissau;GNB;1400;;;70365;
Guyana;GUY;1400;;;79999;
Haiti;HTI;1400;;;133333;
Honduras;HND;1400;;;873172;
Hong Kong;HKG;1400;;;13150;
Hungary;HUN;1400;;;999999;
Iceland;ISL;1400;;;59999;
India;IND;1400;;;127493440;
Indonesia;IDN;1400;;;6375014;
Iran;IRN;1400;;;3750001;
Iraq;IRQ;1400;;;999999;
Ireland;IRL;1400;;;600000;
Israel;ISR;1400;;;280223;
Italy;ITA;1400;;3087,491699;8003594;
Jamaica;JAM;1400;;;143224;
Japan;JPN;1400;;;9299993;
